ID	TARGET	TEXT	STANCE
1	转基因食品	【崔永元：我似乎看懂了《星际穿越》】电影一开始，植物就枯萎了，于是大家都忙着穿越黑洞进入外太空去寻找新家园，我这个聪明人一眼就认出那植物是玉米，那什么，转基因玉米。诺兰把玉米设计成地球上最后终将枯萎的植物，我有些不理解，但肯定不是为了讨孟山都欢喜……全文|我似乎看懂...	UNKNOWN
2	转基因食品	转基因的技术、孜孜以求干这营生牟利的所谓转基因科学界本身，是人类的大害。站在全人类长远利益的立场上看，这种转基因的“科学理性”本身，是十足的邪恶。精英利益集团，本质上是与人民敌对的。——顾秀林：备忘录（二十） |备忘录（二...	UNKNOWN
3	转基因食品	秦仲达举例称，山西地区老鼠吃了转基因玉米，几近于灭绝---------------真的假的？请山西人说说。	UNKNOWN
4	转基因食品	@崔永元 ：目前国内湖南、湖北、广西、吉林四个省份都存在大规模违规种植转基因玉米和水稻的问题。而国家至今都没有批准种植转基因作物，现在批准的只是实验性种植，而且种子不能外泄。但这四个省份，已经存在大规模种植，且很多转基因作物已经进入我们的食物链了！http://t.cn/8FgUvzH @顾秀林的微博	UNKNOWN
5	转基因食品	请国家务必严加监管食品，转基因不能流入中国，更不能流入我口	UNKNOWN
6	转基因食品	环保部《环境教育》早就揭露了转基因的巨大危害和种种弊端！：吕永岩按语：转基因官研商媒为了里应外合，将中国推上转基因农业的不归路，千方百计诬陷揭露转基因危害真相的专家学者，费尽心思地...文字版>> http://t.cn/RqrsnmK （新浪长微博>> http://t.cn/zOXAaic）	UNKNOWN
7	转基因食品	崔化钠，这条中央电视台的喉舌，这条拍屁而起的知识分子，狗舌头功夫果然了得，能一次性同时舔贺卫芳，陈蛋青，张冥的马屁，能把三个公知大肠小肠十二指肠舔这么舒服，全中国都找不出第二条这么贱这么灵活的狗舌头了，飞盘狗曹淋都望尘莫及，崔化钠真应该去给中国联通代言，用狗舌头舔个中国结出来……	UNKNOWN
8	转基因食品	在许多基改品种中有从杆菌中提出的细菌基因，它会产生对昆虫害虫有毒的蛋白质。蝴蝶幼虫吃了含杆菌基因的马利筋属植物的花粉后，有死亡的现象，这引起生态学家们担心非目标物种会成为基改物种的受害者。康大教授约翰·罗西论文中，指出蝴蝶幼虫等田间益虫吃了撒有转基因玉米花粉的菜叶后死亡率特别高。	UNKNOWN
9	转基因食品	【圣女果不是转基因食品】不少人认为圣女果是转基因食品，中国农科院研究员黄三文介绍，这是误解。目前国内没有转基因番茄销售，圣女果学名是樱桃番茄，不是转基因食品，而是番茄进化的中间阶段。番茄祖先体重仅有1克，还不足现生番茄的百分之一。大家可以放心吃小西红柿。网页链接	UNKNOWN
10	转基因食品	关于转基因问题，今天搜了一下，我有近500条微博涉及，截取了几条，基本反应了我对转基因技术及产品的态度——其中的部分药品、食品添加剂、农药、畜药等经多年使用后发现对人类健康有害而停止使用，如果转基因粮食食用多年后发现有同类问题，该是什么状况？这个问题附和者很少，更无挺转者回答！	UNKNOWN
11	转基因食品	联合国粮农组织：1900-2000，地球已丧失70%的生物多样性，这种衰退的最大原因是上世纪50年代以来【『高产的商业化种子企业』『强势挤占』世界各地区当地的种子市场】让农民千百年来精心筛选培育所得的具有巨大的遗传多样性的地方品种遭到大批淘汰！转基因高度一致的种子，会加速农业生物多样性的衰退。	UNKNOWN
12	转基因食品	每年5月21日全世界反转大游行的规模能是你的“同志游行”或那只转基因蚊子的“法轮功游行”可比的？	UNKNOWN
13	转基因食品	孟山都这种公司为什么还会存在！！ 坚决抵制转基因 一个能成产橙剂和各种强致癌性化学物质的公司 并且掩饰其毒性 我们怎么能信任他们制造的转基因作物！『王小石：孟山都与“橙剂”的前世今生 - 乌有网刊』http://t.cn/R5qXwXO	UNKNOWN
14	转基因食品	原来如此，有人无利不起早，有人昼夜不眠的，还说自己名校高知的，原来人家是买买咱们种子来了，我就说祖祖辈辈吃的都是自己发芽的种子，这要是美国人一不高兴，断了种子，没了口粮，这13亿人的头任由人家割呀，想想都可怕，这些个农业部官员都干啥了，连你个孩子都明白，他们专家都装被钱迷傻了[疑问]	UNKNOWN
15	转基因食品	不种转基因都得饿死	UNKNOWN
16	转基因食品	阁下真的了解过欧美的农业现状吗？别的不说，美国超市里的食用油和中国一样99％都是转基因，同时美国大约70％的食物都含有转基因成分，具体数据可以到FDA网站上查！	UNKNOWN
17	转基因食品	10年前巴西大豆平均产量2.3吨/公顷，当时巴西政府拒种转基因，巴西南部农民偷偷从阿根廷偷种子，称其为“马拉多纳”。巴西政府眼看禁止不住，便修改政策，批准了一批转基因大豆。目前巴西92%的大豆为转基因品种，孟山都占了92%的份额。去年巴西大豆的产量是3吨/公顷，中国为1.8吨/公顷。	UNKNOWN
18	转基因食品	【美国最新权威报告：转基因对健康无害 但也不会让粮食增产】围绕转基因作物一直有许多是是非非，有人点赞有人批。美国国家科学、工程和医学学院17日发布的一份大型报告认为，转基因食品对健康无不利影响，可安全食用；但转基因技术也不像支持者所宣称的那样有助提高粮食增产率。http://t.cn/RqkkAnU	UNKNOWN
19	转基因食品	发表文章《中国人为什么反转基因》|中国人为什...	UNKNOWN
20	转基因食品	你没吃过转基因大米，肯定吃过转基因小麦面粉，没吃过转基因小麦面粉，肯定吃过转基因土豆，没吃过转基因土豆，肯定吃过转基因胡萝卜，没吃过转基因胡萝卜，肯定吃过转基因番茄，没吃过转基因番茄，肯定吃过转基因大豆油，并且吃了十来年了，如果确实都没吃过，你要么可能是神，要么一直在享受“特供”	UNKNOWN
21	转基因食品	生产经营转基因食品应按规定标示对于同样广受关注的转基因食品，新版食品安全法增加规定：生产经营转基因食品应当按照规定进行标示。 同时规定，未按规定进行标示的，没收违法所得和生产工具、设备、原料等，最高可处货值金额五倍以上十倍以下罚款，情节严重的责令停产停业，直至吊销许	UNKNOWN
22	转基因食品	他们自己种了自己会吃吗？中国在一些领域上远远落后于美国。他们能检测到的中国未必就能检测得到！	UNKNOWN
23	转基因食品	今年我家所有的种子都写着不能留种，写着是杂交，谁知道是不是转基因，人为了利益什么事儿做不出来，尤其中国各种监管和没有一样。比起转基因，杂交还凑合接受，毕竟骡子还是可以活着的。	UNKNOWN
24	转基因食品	大勢所趨，降低食物價格，即使存在一定風險但顯然收益更大，我個人不排斥	UNKNOWN
25	转基因食品	一筐蛋金牌产品介绍 四号产品：白蛋 小巧可爱的转基因绿色产品，光照充分的时候还会长出小叶子，一口一个不长胖，是您茶余饭后的灵魂伴侣，如果因为太可爱舍不得吃，还可以当做植物养，转基因白蛋，就是这么任性！	UNKNOWN
26	转基因食品	【说点真话】小崔反转，把转基因问题由争论变成了争吵，由扯皮变成了扯蛋。扬言要#每日一夹#，并拉出早已经臭大街的汪三法花旺仔站台。节操可谓是碎了一微博。汪三旺仔没回吻，法花倒是在后面顶了一下，不过不是反转，而是摆明了设个政治套：你还有太多的正事要做→ 我曾经看过一篇座谈纪要……	UNKNOWN
27	转基因食品	一方面特供的食物全部不用转基因，一方面砖家们使劲游说转基因市场化，不要把老百姓当傻瓜好吗？个人不反对新事物的推广，前提是领导先用。	UNKNOWN
28	转基因食品	一个月前关注崔永元转基因战问题，农大学生为维护转基因和“农大声誉”采取谩骂小崔的方式。 我心想这帮熊孩子的智商和素质还真是全面发展。 结果今天，教育部纪检查农大校长，真是实力坑母校。	UNKNOWN
29	转基因食品	美国反转势力大，现在逼得让各大食品公司：通用磨坊，达能，雀巢，好时巧克力，火星，家乐氏，等等都开始自愿标示转基因成分，连续起诉美国FDA批准转基因三文鱼，使得转基因三文鱼上市遥遥无期。美国有机食品连续十年以两位数增长，逼得美国来中国印度采购非转基因大豆作为给牛猪鸡饲料。	UNKNOWN
30	转基因食品	【云南富源种植变色土豆玉米 网友质疑彩色是不是转基因】 而对于这些颜色艳丽的农作物，很多人因近些年来“转基因”的影响将其联想到一块。这也成了产品销售的拦路虎之一，难以有大起色。http://t.cn/RLTfAlY	UNKNOWN
31	转基因食品	因为中国对转基因最有发言权的是对基因狗屁不懂的毛左们和崔永元！[哈哈]	UNKNOWN
32	转基因食品	我只是回答他关于转基因在美国并没有产业化的论调而已，其次我google了一下，根据time 4月30号的一篇报道，超过90%的大豆棉花及玉米在美国是在转基因工程下种植的。我并不反对他们反对转基因，我只是反对他们为反对而造谣	UNKNOWN
33	转基因食品	【怪不得小崔在美国没找到转基因】美国缅因州是继康涅狄格州之后，第二个通过“强制在食品上标注转基因成分”法案的州。然而，该法案只有在相邻几个州都签署了同样的法案之后，它才会生效。http://t.cn/8FAMoAt	UNKNOWN
