ID	TARGET	TEXT
1	转基因食品	【视频： 阿彪大讲堂——科普转基因大米】 （分享自 @优酷） #28全国转基因大米品尝会# 转基因产品在我们身边很多，并不可怕，你吃过也用过。抗虫转基因大米有好处。了解转基因，破除恐惧。我敢吃，我在吃。
2	转基因食品	不知道转基因大米什么时候才有的卖呀。今天和@蔓越小莓 科学妈一起参加深圳的转基因大米品尝会。分享大家传播科学知识的经验
3	转基因食品	只想说一句话,安全与否,转基因是大势所趋,与其打压,不如想办法验证安全性和寻找提高安全性的方法[思考] 人类基因时时刻刻都因各种原因突变着,我不相信转基因大米能比雾霾更厉害[黑线] #科学进步大势所趋#
4	转基因食品	【袁隆平：转基因大米还在试验阶段并未面市】他表示，对于转基因不能一概而论，有些转基因不是食品，例如棉，我们现在约80%、90%的棉都是转基因抗虫棉，没有问题的。还有像大豆，(每年)从美国进口的几千万吨大豆，都是转基因，有一种抗除草剂基因，这样的大豆我们现在都在吃。
5	转基因食品	【北青报：盲目挺转与反转都是危险的】8月17日是我国转基因产业化的一个重要时间节点，已获安全证书的两种转基因抗虫水稻到期。不能因为转基因大米的安全证书快到期了，就拼命忽悠，说国家粮食安全重要，必须要靠转基因大米来解决，这样做实际上是把整个转基因都带到死胡同去了。
6	转基因食品	支持转基因，我也是做科研滴（虽然不是转基因），搞科研的通常会支持转基因，因为很了解。但是现在的媒体，对科学一无所知，很大程度上误导了大众，而在这个领域研究了几十年的科学家的声音却听不到，真是种悲哀。最后一句真理：南都的都是纯sb
7	转基因食品	[可爱]他们根本不知道什么转基因不转基因的好吧。这样写太容易引发舆论和争论了。也许人就是什么好吃些就吃什么，根本就存着为了利益伤害别人的心里。现在不也没能证明转基因伤害人吗？吃了那么久，要不是舆论引发你们所谓的文化人还不是继续吃…你们都不懂更别说他们了。
8	转基因食品	我是学这个的，说实话看见这么多误解转基因的觉得很心痛。转基因并不是含有有害成分而是没法证明它对人体无害，加上推广转基因会对传统制种公司有非常大的影响，所以才会通过舆论来压制转基因。每次大型的转基因反对潮，归根结底都是这些种子公司在操纵。
9	转基因食品	第二季的稻子普遍比第一季的口感好，由于日照时间长，早晚温差大，糖类聚集更丰富，所以营养也更丰富，因此，粮农都愿意留着二季稻来做口粮，他们也不傻，不吃一季稻是因为不好吃，不是因为它是转基因。种过粮食的人表示，文章的逻辑不严谨。
10	转基因食品	计算一下成本，种抗虫稻，其实不过是省了一点农药钱和打农药的工夫。而在转基因大米是否适合人害食用这一科题未定性的情况下，就开始滥种，甚至偷卖，流入市场。简直涉嫌故意杀人，或者投毒。
11	转基因食品	作用于虫子的物质并不一定会作用于人，懒得再解释。另外，反对转基因的专家有几个是这个领域的？都是一些什么作家、主持人之类的，可不可笑？你们只是对未知事物的恐惧而已，恐惧来源于无知。你全家才遭雷劈，滚你的吧。
12	转基因食品	我们一边呼唤民主一边又根据自己的喜好用莫须有的罪名强行遏杀转基因的种植。我们因为不原意吃所以就不可以种。这样的民主思维只有呵呵了。
13	转基因食品	农民根本不知道什么转基因不转基因的。以前家里种的高产玉米我们自己也不吃，原因很简单口感不好。记者为啥不问下农民不吃的原因是知道它是转基因不能吃，还是口感不好不想吃。
14	转基因食品	转基因的食用史已经有十几年了，没有一例因食用转基因食物而导致事故的案例。另外，这种事情只能证实，无法证伪，如果非要找出副作用的案例，这就像是耍流氓，因为如果你从科学的层面了解了转基因，就会觉得这种疑问是多么的可笑。
15	转基因食品	能不能具体说明转基因水稻还有哪些特殊成分，这些成分会对人体有什么坏处。老农没文化，会认为：卧槽，这水稻虫子都不吃，肯定有毒。但是请给出科学依据、事实案例证明转基因的危害。现在说转基因有害的文章满天飞，但没有一个能说出科学依据的，都是些疑似危害，说难听点就是拉不出屎怪地球没吸引力的
16	转基因食品	呵了个呵 农民不吃能说明什么！？是他们证实了转基因真的有问题？还是因为蠢？
17	转基因食品	[话筒][围观][围观][围观][围观][围观][围观]人民公诉:转基因种子公司非法出售转基因种子危害百姓健康至少10年的法律责任……人民公诉:政府监管部门监管缺失严重渎职涉嫌腐败！彻查中国转基因腐败利益链条[怒][怒][怒][怒][怒]…中国的转基因鼠辈已走到绝路，遭雷劈去吧！…不得好死，下18层地狱去吧…
18	转基因食品	法律面前，人人平等…违法事实确凿案情重大立即公诉[怒]农业部，转基因种子公司…1.欧盟查出中国转基因污染在2004年，百姓不知情的情况下吃了转基因大米至少10年，媒体见证了转基因犯罪集团目无国法欺骗百姓，农业部严重渎职[怒]；2.案中案《转基因安全证书》实验造假涉嫌诈骗非法获利，立即公诉张启发
